Compound_Name,File_Name,Pose_Number,Affinity,CNNaffinity,CNNvariance,Intramolecular_energy,SMILES
 ZINC000010737368,IHAAMM.xaa_ligand_0046_docked.pdbqt,4.0,-6.0303,5.86669,0.12746,-0.96399,C1(=[C][C]=C([C]=[C]1)S(=O)(=O)[N]C1=C([C]=[C][C]=[C]1)[C])C(=O)N[C][C]n1c([C])nc2=[C][C]=[C][C]=c12	
 ZINC000032943982,IHAAMM.xaa_ligand_0047_docked.pdbqt,1.0,-6.10697,5.19989,0.39118,-0.66755,C1(=[C][C]=C2S[C]([C]N(C(=O)[C]3[C][C]3)C2=[C]1)[C])S(=O)(=O)[N]C1=[C][C]=C([C]=[C]1)C(=O)[C]	
 ZINC000010737425,IHAAMM.xaa_ligand_0048_docked.pdbqt,5.0,-5.49523,5.54364,0.19946,-1.59781,N(C(=O)C1=[C][C]=[C]C(=[C]1)[N]S(=O)(=O)C1=[C][C]=[C][C]=[C]1)[C][C]n1c([C])nc2=[C][C]=[C][C]=c12	
 ZINC000032943984,IHAAMM.xaa_ligand_0049_docked.pdbqt,4.0,-5.39082,5.2733,0.17307,-0.2469,C1(=[C][C]=C2S[C]([C]N(C(=O)[C]3[C][C]3)C2=[C]1)[C])S(=O)(=O)[N]C1=[C]C(=C([C]=[C]1)O[C])O[C]	
 ZINC000032943983,IHAAMM.xaa_ligand_0050_docked.pdbqt,5.0,-5.17323,5.3724,0.10199,-1.07176,C1(=[C]C2=C([C]=[C]1)S[C]([C]N2C(=O)[C]1[C][C]1)[C])S(=O)(=O)[N]C1=[C]C(=C([C]=[C]1)O[C])O[C]	
 ZINC000032943981,IHAAMM.xaa_ligand_0051_docked.pdbqt,8.0,-5.1429,5.26785,0.19157,-0.69296,C1(=[C][C]=C2S[C]([C]N(C(=O)[C]3[C][C]3)C2=[C]1)[C])S(=O)(=O)[N]C1=[C][C]=C([C]=[C]1)C(=O)[C]	
 ZINC000032944013,IHAAMM.xaa_ligand_0052_docked.pdbqt,2.0,-5.76375,5.40419,0.2208,-0.60087,C1(=[C][C]=C2S[C]([C]N(C(=O)[C]3[C][C]3)C2=[C]1)[C])S(=O)(=O)[N]C1=[C]C(=[C]C(=[C]1)O[C])O[C]	
 ZINC000032944014,IHAAMM.xaa_ligand_0053_docked.pdbqt,1.0,-5.73755,5.32858,0.23964,-0.69054,C1(=[C]C2=C([C]=[C]1)S[C]([C]N2C(=O)[C]1[C][C]1)[C])S(=O)(=O)[N]C1=[C]C(=[C]C(=[C]1)O[C])O[C]	
 ZINC000046027412,IHAAMM.xaa_ligand_0054_docked.pdbqt,1.0,-5.54272,5.4273,0.25602,-0.71439,[C]C1=[C][C]=C([C]=C1S(=O)(=O)[N]C1=[C][C]=C([C]=[C]1)F)c1nn(c(=O)c2[C][C][C][C]c12)[C]	
 ZINC000046027410,IHAAMM.xaa_ligand_0055_docked.pdbqt,4.0,-5.65366,5.58216,0.13428,-1.07927,C1(=[C]C(=[C][C]=C1[C])c1nn(c(=O)c2[C][C][C][C]c12)[C])S(=O)(=O)[N]C1=[C][C]=[C][C]=C1[C][C]	
 ZINC000046027470,IHAAMM.xaa_ligand_0056_docked.pdbqt,1.0,-5.74408,5.60013,0.20151,-0.65401,[C]C1=[C][C]=C([C]=C1S(=O)(=O)[N]C1=[C][C]=[C]C(=[C]1)F)c1nn(c(=O)c2[C][C][C][C]c12)[C]	
